model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_n_estimators
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,100
Random Forest,0.9824175824175825,0.953846153846154,0.9588235294117646,0.9235294117647059,3,150
Random Forest,0.9818681318681319,0.9516483516483518,0.9573529411764706,0.9176470588235295,3,200
Random Forest,0.9824175824175825,0.9494505494505496,0.9588235294117646,0.9176470588235295,3,250
Random Forest,0.9818681318681319,0.9472527472527474,0.9573529411764706,0.911764705882353,3,300
Random Forest,0.9818681318681319,0.9494505494505496,0.9573529411764706,0.9176470588235295,3,350
Random Forest,0.9824175824175825,0.9472527472527474,0.9573529411764706,0.911764705882353,3,400
Random Forest,0.982967032967033,0.9472527472527474,0.9588235294117646,0.911764705882353,3,450
Random Forest,0.9824175824175825,0.9472527472527474,0.9573529411764706,0.911764705882353,3,500
Random Forest,0.9895604395604396,0.953846153846154,0.9764705882352942,0.9235294117647059,4,50
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4,100
Random Forest,0.9901098901098901,0.9560439560439562,0.976470588235294,0.9235294117647059,4,150
Random Forest,0.9906593406593407,0.953846153846154,0.976470588235294,0.9176470588235295,4,200
Random Forest,0.9906593406593407,0.9516483516483518,0.976470588235294,0.9176470588235295,4,250
Random Forest,0.9906593406593407,0.9516483516483518,0.976470588235294,0.9176470588235295,4,300
Random Forest,0.9906593406593407,0.9516483516483518,0.976470588235294,0.9176470588235295,4,350
Random Forest,0.9906593406593407,0.9516483516483518,0.976470588235294,0.9176470588235295,4,400
Random Forest,0.9912087912087912,0.9516483516483518,0.976470588235294,0.9176470588235295,4,450
Random Forest,0.9912087912087912,0.953846153846154,0.976470588235294,0.9235294117647059,4,500
Random Forest,0.9923076923076923,0.9582417582417584,0.9823529411764707,0.9294117647058824,5,50
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5,100
Random Forest,0.9928571428571429,0.964835164835165,0.9808823529411764,0.9411764705882353,5,150
Random Forest,0.9923076923076923,0.9626373626373628,0.9794117647058824,0.9352941176470588,5,200
Random Forest,0.9923076923076923,0.9604395604395606,0.9794117647058824,0.9352941176470588,5,250
Random Forest,0.9923076923076923,0.9626373626373628,0.9794117647058824,0.9352941176470588,5,300
Random Forest,0.9923076923076923,0.9582417582417584,0.9794117647058824,0.9294117647058824,5,350
Random Forest,0.9923076923076923,0.9560439560439562,0.9794117647058824,0.9294117647058824,5,400
Random Forest,0.9923076923076923,0.9582417582417584,0.9794117647058824,0.9294117647058824,5,450
Random Forest,0.9923076923076923,0.9560439560439562,0.9794117647058824,0.9294117647058824,5,500
Random Forest,0.9961538461538462,0.9626373626373628,0.9897058823529413,0.9352941176470588,6,50
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6,100
Random Forest,0.9978021978021978,0.9670329670329672,0.9941176470588236,0.9470588235294117,6,150
Random Forest,0.9978021978021978,0.964835164835165,0.9941176470588236,0.9470588235294117,6,200
Random Forest,0.9972527472527473,0.9626373626373628,0.9926470588235293,0.9411764705882353,6,250
Random Forest,0.9972527472527473,0.964835164835165,0.9926470588235293,0.9411764705882353,6,300
Random Forest,0.9978021978021978,0.9604395604395606,0.9941176470588236,0.9411764705882353,6,350
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9411764705882353,6,400
Random Forest,0.9978021978021978,0.9604395604395606,0.9941176470588236,0.9411764705882353,6,450
Random Forest,0.9978021978021978,0.9604395604395606,0.9941176470588236,0.9411764705882353,6,500
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,7,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,100
