model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_max_features
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,7,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,7,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,8,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,8,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,8,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,8,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,8,0.7
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9,sqrt
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,9,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,9,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,9,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,10,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,10,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,10,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,10,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,10,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,11,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,11,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,11,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,11,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,11,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,12,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,12,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,12,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,12,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,12,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,13,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,13,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,13,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,13,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,13,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,14,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,14,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,14,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,15,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,15,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,15,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,15,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,15,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,,sqrt
