model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_leaf
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,13,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,13,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,13,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,13,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,13,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,13,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,13,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,13,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,13,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,13,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,13,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,14,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,14,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,14,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,14,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,14,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,14,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,14,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,14,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,14,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,14,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,14,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,14,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,14,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,15,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,15,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,15,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,15,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,15,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,15,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,15,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,15,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,15,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,15,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,15,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,15,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,15,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,15,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,,1
Random Forest,0.9928571428571429,0.9604395604395606,0.9838235294117649,0.9470588235294117,,2
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058822,0.9352941176470588,,3
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5
Random Forest,0.979120879120879,0.953846153846154,0.9632352941176471,0.9235294117647059,,7
Random Forest,0.9708791208791208,0.9494505494505496,0.9558823529411764,0.9176470588235295,,10
Random Forest,0.9659340659340658,0.953846153846154,0.9455882352941177,0.9176470588235295,,15
Random Forest,0.9609890109890109,0.9494505494505494,0.9338235294117647,0.9058823529411765,,20
Random Forest,0.9587912087912087,0.953846153846154,0.9161764705882354,0.9058823529411765,,30
Random Forest,0.9505494505494505,0.945054945054945,0.9029411764705882,0.8882352941176471,,40
Random Forest,0.9489010989010989,0.9428571428571428,0.901470588235294,0.8882352941176471,,50
Random Forest,0.9461538461538461,0.9406593406593406,0.8838235294117647,0.8647058823529411,,75
Random Forest,0.9307692307692308,0.9318681318681318,0.8941176470588236,0.8941176470588236,,100
