model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_split
Random Forest,0.9895604395604396,0.9516483516483518,0.976470588235294,0.9176470588235295,4,6
Random Forest,0.987912087912088,0.9494505494505496,0.9735294117647058,0.9176470588235295,4,8
Random Forest,0.987912087912088,0.9472527472527474,0.9735294117647058,0.9176470588235295,4,10
Random Forest,0.9862637362637363,0.9472527472527474,0.9705882352941175,0.9176470588235295,4,12
Random Forest,0.9862637362637363,0.9494505494505496,0.9705882352941175,0.9235294117647059,4,15
Random Forest,0.9835164835164836,0.9472527472527474,0.9661764705882353,0.9235294117647059,4,20
Random Forest,0.9796703296703295,0.9516483516483518,0.9602941176470589,0.9235294117647059,4,30
Random Forest,0.9802197802197803,0.9472527472527474,0.9602941176470589,0.9235294117647059,4,40
Random Forest,0.9774725274725273,0.9516483516483518,0.9544117647058824,0.9235294117647059,4,50
Random Forest,0.9692307692307691,0.9494505494505496,0.9602941176470589,0.9235294117647059,4,75
Random Forest,0.9609890109890109,0.9472527472527474,0.9617647058823529,0.9294117647058824,4,100
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5,2
Random Forest,0.9917582417582418,0.953846153846154,0.9808823529411764,0.9294117647058824,5,3
Random Forest,0.9917582417582418,0.9560439560439562,0.9808823529411764,0.9294117647058824,5,4
Random Forest,0.9917582417582418,0.9560439560439562,0.9808823529411764,0.9294117647058824,5,5
Random Forest,0.9906593406593407,0.9582417582417584,0.9794117647058824,0.9352941176470588,5,6
Random Forest,0.9906593406593407,0.953846153846154,0.9808823529411764,0.9294117647058824,5,8
Random Forest,0.989010989010989,0.9516483516483518,0.9764705882352942,0.9235294117647059,5,10
Random Forest,0.9884615384615385,0.9516483516483518,0.976470588235294,0.9235294117647059,5,12
Random Forest,0.9868131868131869,0.9494505494505496,0.975,0.9235294117647059,5,15
Random Forest,0.9862637362637363,0.9516483516483518,0.9720588235294118,0.9235294117647059,5,20
Random Forest,0.9824175824175825,0.953846153846154,0.9676470588235293,0.9235294117647059,5,30
Random Forest,0.9796703296703295,0.9516483516483518,0.9602941176470589,0.9235294117647059,5,40
Random Forest,0.9791208791208792,0.9516483516483518,0.9602941176470589,0.9235294117647059,5,50
Random Forest,0.9703296703296702,0.9516483516483518,0.9617647058823529,0.9294117647058824,5,75
Random Forest,0.962087912087912,0.9494505494505496,0.9676470588235293,0.9352941176470588,5,100
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6,2
Random Forest,0.9961538461538462,0.9582417582417584,0.9897058823529413,0.9352941176470588,6,3
Random Forest,0.993956043956044,0.9582417582417584,0.9852941176470589,0.9352941176470588,6,4
Random Forest,0.9928571428571429,0.9560439560439562,0.9823529411764707,0.9352941176470588,6,5
Random Forest,0.9923076923076923,0.9560439560439562,0.9808823529411764,0.9294117647058824,6,6
Random Forest,0.9906593406593407,0.9560439560439562,0.9794117647058824,0.9352941176470588,6,8
Random Forest,0.9901098901098901,0.953846153846154,0.9794117647058824,0.9294117647058824,6,10
Random Forest,0.9884615384615385,0.9516483516483518,0.9779411764705882,0.9294117647058824,6,12
Random Forest,0.987912087912088,0.9494505494505496,0.9779411764705882,0.9235294117647059,6,15
Random Forest,0.9873626373626374,0.9472527472527474,0.975,0.9235294117647059,6,20
Random Forest,0.9818681318681319,0.953846153846154,0.9676470588235293,0.9294117647058824,6,30
Random Forest,0.9813186813186814,0.9494505494505496,0.9647058823529411,0.9294117647058824,6,40
Random Forest,0.9791208791208792,0.9516483516483518,0.9602941176470589,0.9294117647058824,6,50
Random Forest,0.9703296703296702,0.9494505494505496,0.9632352941176471,0.9294117647058824,6,75
Random Forest,0.9626373626373625,0.9472527472527472,0.9676470588235293,0.9352941176470588,6,100
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,2
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,3
Random Forest,0.9983516483516484,0.9626373626373628,0.9955882352941178,0.9411764705882353,7,4
Random Forest,0.9956043956043956,0.9560439560439562,0.9897058823529413,0.9352941176470588,7,5
Random Forest,0.993956043956044,0.9604395604395606,0.9852941176470587,0.9411764705882353,7,6
Random Forest,0.9917582417582418,0.953846153846154,0.9808823529411764,0.9294117647058824,7,8
Random Forest,0.9906593406593407,0.953846153846154,0.9808823529411764,0.9294117647058824,7,10
Random Forest,0.9895604395604396,0.9516483516483518,0.9794117647058824,0.9294117647058824,7,12
