model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
Random Forest,0.9862637362637363,0.953846153846154,0.9705882352941178,0.9235294117647059,,4,3,50
Random Forest,0.987912087912088,0.9516483516483518,0.975,0.9235294117647059,,4,3,75
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4,3,100
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,3,125
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,3,150
Random Forest,0.9857142857142858,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,3,175
Random Forest,0.9857142857142858,0.9560439560439562,0.9705882352941178,0.9352941176470588,,4,3,200
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,3,225
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,3,250
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,3,275
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,3,300
Random Forest,0.9862637362637363,0.953846153846154,0.9705882352941178,0.9235294117647059,,4,5,50
Random Forest,0.987912087912088,0.9516483516483518,0.975,0.9235294117647059,,4,5,75
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4,5,100
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,5,125
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,5,150
Random Forest,0.9857142857142858,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,5,175
Random Forest,0.9857142857142858,0.9560439560439562,0.9705882352941178,0.9352941176470588,,4,5,200
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,5,225
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,5,250
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,5,275
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,5,300
Random Forest,0.9862637362637363,0.953846153846154,0.9705882352941178,0.9235294117647059,,4,7,50
Random Forest,0.987912087912088,0.9516483516483518,0.975,0.9235294117647059,,4,7,75
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4,7,100
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,7,125
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,7,150
Random Forest,0.9857142857142858,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,7,175
Random Forest,0.9857142857142858,0.9560439560439562,0.9705882352941178,0.9352941176470588,,4,7,200
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,7,225
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,7,250
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,7,275
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,7,300
Random Forest,0.9857142857142858,0.953846153846154,0.9705882352941178,0.9235294117647059,,4,10,50
Random Forest,0.9857142857142858,0.9516483516483518,0.9735294117647058,0.9235294117647059,,4,10,75
Random Forest,0.9846153846153847,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,10,100
Random Forest,0.9840659340659341,0.9516483516483518,0.9705882352941178,0.9235294117647059,,4,10,125
Random Forest,0.9840659340659341,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,10,150
Random Forest,0.9851648351648352,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,10,175
Random Forest,0.9846153846153847,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,10,200
Random Forest,0.9846153846153847,0.9494505494505496,0.9705882352941178,0.9176470588235295,,4,10,225
Random Forest,0.9851648351648352,0.9494505494505496,0.9705882352941178,0.9176470588235295,,4,10,250
Random Forest,0.9851648351648352,0.9494505494505496,0.9705882352941178,0.9176470588235295,,4,10,275
Random Forest,0.9851648351648352,0.9494505494505496,0.9705882352941178,0.9176470588235295,,4,10,300
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235293,0.9294117647058824,,5,2,50
Random Forest,0.9835164835164836,0.9560439560439562,0.9705882352941178,0.9294117647058824,,5,2,75
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,2,100
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235295,0.9294117647058824,,5,2,125
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,2,150
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,2,175
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,2,200
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,2,225
Random Forest,0.9840659340659341,0.9494505494505496,0.9705882352941178,0.9176470588235295,,5,2,250
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,2,275
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,2,300
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235293,0.9294117647058824,,5,3,50
Random Forest,0.9835164835164836,0.9560439560439562,0.9705882352941178,0.9294117647058824,,5,3,75
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,3,100
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235295,0.9294117647058824,,5,3,125
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,3,150
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,3,175
